Counter-Strike: Global Offensive;501196
Dota 2;378925.43
PLAYERUNKNOWN'S BATTLEGROUNDS;275363.04
Rust;51620.39
Team Fortress 2;59597.88
Grand Theft Auto V;111300.2
Tom Clancy's Rainbow Six Siege;94185.78
Rocket League;41923.12
Path of Exile;39978.76
ARK: Survival Evolved;45655.85
Destiny 2;65955.1
Sid Meier's Civilization VI;32745.53
PAYDAY 2;20294.08
Wallpaper Engine;17000.55
Warframe;36264.08
Euro Truck Simulator 2;18884.25
Stardew Valley;24356.22
Garry's Mod;26582.47
Dead by Daylight;23582.15
War Thunder;13825.4
Total War: WARHAMMER II;22945.57
DayZ;14731.7
Farming Simulator 19;10879.04
Hearts of Iron IV;17678.24
World of Tanks Blitz;14234.25
The Elder Scrolls Online;15416.94
Age of Empires II: Definitive Edition;11140.03
The Elder Scrolls V: Skyrim Special Edition;15991.82
Brawlhalla;10448.06
Unturned;17665.01
Spacewar;7092.61
7 Days to Die;16550.55
Football Manager 2020;45252
SMITE;9659.47
Sid Meier's Civilization V;20642
FINAL FANTASY XIV Online;10660.06
RimWorld;12110.73
Europa Universalis IV;13379.9
Counter-Strike;10197.54
Arma 3;14703.42
Black Desert Online;14250.47
NBA 2K20;13803.73
Bloons TD 6;6120.17
Factorio;8846.6
Dead Cells;1817.83
DARK SOULS™ III;9478.24
Fallout 4;14376.51
VRChat;7972.94
Stellaris;9948.66
World of Warships;7399.93
Paladins;13883.41
Albion Online;2949.22
Yu-Gi-Oh! Duel Links;5742.14
Soundpad;2830.59
Assassin's Creed Odyssey;9237.46
Total War: THREE KINGDOMS;11550.98
The Forest;7194.89
Hades;4234.54
Deep Rock Galactic;2512.05
Green Hell;462.52
The Binding of Isaac: Rebirth;5377.88
Raft;5595.81
Oxygen Not Included;6052.69
Conqueror's Blade;439.32
Conan Exiles;11660.03
Human: Fall Flat;7266.11
Hunt: Showdown;4540.92
Dying Light;6050.41
NGU IDLE;5128.76
Geometry Dash;4154.63
SCUM;3174.86
Aim Lab;152.98
Company of Heroes 2;5258.35
The Elder Scrolls V: Skyrim;8211.45
Russian Fishing 4;2433.59
Mount & Blade: Warband;7952.24
SCP: Secret Laboratory;2672.34
Total War: ROME II - Emperor Edition;5539.86
Squad;2988.87
Hollow Knight;4027.04
Grim Dawn;4599.69
BeamNG.drive;2923.81
Killing Floor 2;4144.66
Black Desert;3659.22
Warhammer: Vermintide 2;2999.07
Prison Architect;1506.92
Planet Zoo;5489.38
Kerbal Space Program;3556.96
Dota Underlords;9500.55
Total War: MEDIEVAL II - Definitive Edition;3184.52
MORDHAU;4541.93
Clicker Heroes;2535.79
theHunter: Call of the Wild™;2350.33
Hell Let Loose;1207.42
AdVenture Capitalist;1387.18
Starbound;2751.31
Crossout;3403.18
Warface;1835.27
For Honor;2871.65
Crusader Kings II;7194.4
House Flipper;1845.11
XCOM 2;4717.14
Lords Mobile;2366.78
Blender;1433.96
Far Cry 5;4004.77
The Isle;4224.77
Assetto Corsa Competizione;685.35
Borderlands 2;4421.33
Kenshi;4513.61
Heroes & Generals;2812.46
Eco;806.4
People Playground;498.57
Shakes and Fidget;463.34
Subnautica;3054.18
Insurgency: Sandstorm;2010.4
Total War: EMPIRE - Definitive Edition;2437.71
The Sims(TM) 3;4465.97
Transformice;540.87
Total War: ATTILA;2669.6
Transport Fever 2;5353.81
